=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2016.07.26 22:04:39 =~=~=~=~=~=~=~=~=~=~=~=
Tstart,A0,A1,Tstop
1878704,428,158,1878928
1880828,427,158,1881056
1882952,428,159,1883176
1885080,428,158,1885304
1887204,428,159,1887432
1889328,427,158,1889552
1891452,428,158,1891680
1893580,427,158,1893808
1895704,428,159,1895928
1897828,428,158,1898056
1899952,428,159,1900176
1902076,428,159,1902304
1904204,428,159,1904432
1906328,428,159,1906552
1908452,428,159,1908680
1910580,427,158,1910808
1912704,427,158,1912928
1914828,428,159,1915056
1916952,427,158,1917176
1919080,428,159,1919304
1921204,428,158,1921432
1923328,428,158,1923552
1925452,428,158,1925680
1927576,428,158,1927800
1929704,427,158,1929928
1931828,428,158,1932056
1933952,427,158,1934176
1936076,428,159,1936304
1938204,428,158,1938440
1940328,428,158,1940552
1942452,427,158,1942680
1944584,428,158,1944808
1946704,428,158,1946928
1948828,428,158,1949056
1950952,428,159,1951176
1953076,428,158,1953304
1955204,428,159,1955432
1957328,428,158,1957552
1959452,428,158,1959680
1961580,427,158,1961808
1963704,428,158,1963928
1965828,428,159,1966056
1967952,428,159,1968176
1970080,428,158,1970304
1972204,428,158,1972432
1974328,428,158,1974552
1976452,428,159,1976680
1978580,427,158,1978808
1980704,427,158,1980928
1982828,428,159,1983056
1984952,427,158,1985176
1987080,428,159,1987304
1989204,427,158,1989432
1991328,428,159,1991552
1993452,427,158,1993680
1995580,428,158,1995808
1997704,427,158,1997928
1999828,428,159,2000056
2001952,427,158,2002176
2004076,428,159,2004304
2006204,427,158,2006432
2008328,428,158,2008552
2010452,427,158,2010680
2012580,428,159,2012808
2014704,428,158,2014928
2016828,427,158,2017056
2018952,428,159,2019176
2021080,427,158,2021304
2023204,428,159,2023432
2025328,427,158,2025552
2027452,428,159,2027680
2029584,427,158,2029808
2031704,428,158,2031928
2033828,427,159,2034056
2035952,428,159,2036176
2038076,428,158,2038304
2040204,428,159,2040432
2042328,427,158,2042552
2044452,428,159,2044680
2046580,427,158,2046808
2048704,427,158,2048928
2050828,428,159,2051056
2052952,427,158,2053176
2055080,428,159,2055304
2057204,428,158,2057432
2059328,428,158,2059552
2061452,428,158,2061680
2063580,428,158,2063808
2065704,428,158,2065928
2067828,428,159,2068056
2069952,428,158,2070176
2072076,428,159,2072304
2074204,428,158,2074432
2076328,428,158,2076552
2078452,428,158,2078680
2080580,428,158,2080808
2082704,428,158,2082936
2084828,428,158,2085056
2086952,428,159,2087176
2089080,428,158,2089304
2091204,428,159,2091432
2093328,428,158,2093552
2095452,428,158,2095680
2097576,428,159,2097800
2099704,428,159,2099928
2101828,428,158,2102056
2103952,428,159,2104176
2106076,428,158,2106304
2108204,428,158,2108432
2110328,428,158,2110552
2112452,428,159,2112680
2114580,428,158,2114808
2116704,428,158,2116928
2118828,428,159,2119056
2120952,428,158,2121176
2123080,428,159,2123304
2125204,428,158,2125432
2127328,428,159,2127552
2129452,428,158,2129680
2131580,428,159,2131808
2133704,428,158,2133928
2135828,428,159,2136056
2137952,428,158,2138176
2140080,428,159,2140304
2142204,428,158,2142432
2144328,428,159,2144552
2146452,428,158,2146680
2148576,428,158,2148800
2150704,428,159,2150928
2152828,428,158,2153056
2154952,428,159,2155176
2157076,428,159,2157304
2159204,428,159,2159432
2161328,428,158,2161552
2163452,428,159,2163680
2165576,428,158,2165800
2167704,428,159,2167928
2169828,428,158,2170056
2171952,428,159,2172176
2174076,428,158,2174304
2176204,428,159,2176432
2178328,428,158,2178552
2180452,428,159,2180680
2182580,428,158,2182808
2184704,428,158,2184928
2186828,428,159,2187056
2188952,428,159,2189176
2191076,428,158,2191304
2193204,428,158,2193432
2195328,428,159,2195552
2197452,428,158,2197680
2199580,428,158,2199808
2201704,428,158,2201928
2203828,428,158,2204056
2205952,428,159,2206176
2208080,428,158,2208304
2210204,428,158,2210432
2212328,428,159,2212552
2214452,427,158,2214680
2216580,428,158,2216808
2218704,428,159,2218928
2220828,428,159,2221064
2222952,428,159,2223176
2225080,428,159,2225304
2227208,428,158,2227432
2229328,427,159,2229552
2231452,428,158,2231680
2233576,428,158,2233800
2235704,428,159,2235928
2237828,428,158,2238056
2239952,428,159,2240176
2242080,428,158,2242304
2244204,428,159,2244432
2246328,428,158,2246552
2248452,428,158,2248680
2250580,428,159,2250808
2252704,428,159,2252928
2254828,429,159,2255056
2256952,428,158,2257176
2259080,428,159,2259304
2261204,428,158,2261432
2263328,428,158,2263552
2265452,428,158,2265680
2267580,428,159,2267808
2269704,428,158,2269928
2271828,428,159,2272056
2273952,428,158,2274176
2276076,428,158,2276304
2278204,428,158,2278432
2280328,428,159,2280552
2282452,428,158,2282680
2284580,428,158,2284808
2286704,428,159,2286928
2288828,428,158,2289056
2290952,428,159,2291176
2293080,428,158,2293304
2295204,429,158,2295432
2297328,428,158,2297552
2299452,428,158,2299680
2301580,428,158,2301808
2303704,429,158,2303928
2305828,428,159,2306056
2307952,428,159,2308176
2310080,428,159,2310304
2312208,428,159,2312432
2314328,428,158,2314552
2316452,429,159,2316680
2318580,429,158,2318808
2320704,428,158,2320928
2322828,429,158,2323056
2324952,428,159,2325176
2327080,429,158,2327304
2329204,428,158,2329432
2331328,429,159,2331552
2333452,428,158,2333680
2335576,429,159,2335800
2337704,428,158,2337928
2339828,429,158,2340056
2341952,428,158,2342176
2344076,429,158,2344304
2346204,428,158,2346432
2348328,428,159,2348552
2350452,428,159,2350680
2352580,428,158,2352808
2354704,429,159,2354928
2356828,428,158,2357056
2358952,429,159,2359176
2361080,429,159,2361304
2363204,428,159,2363432
2365328,428,158,2365560
2367452,429,158,2367680
2369580,428,158,2369808
2371704,429,159,2371928
2373828,428,158,2374056
2375952,429,159,2376176
2378080,428,158,2378304
2380204,429,159,2380432
2382328,428,158,2382552
2384452,429,159,2384680
2386580,429,159,2386808
2388704,428,159,2388928
2390828,429,159,2391056
2392952,428,158,2393176
2395080,429,158,2395304
2397208,428,159,2397432
2399328,429,159,2399552
2401452,428,159,2401680
2403576,429,159,2403800
2405704,428,159,2405928
2407828,429,159,2408056
2409952,428,158,2410176
2412076,429,159,2412304
2414204,428,158,2414432
2416328,429,159,2416552
2418452,428,158,2418680
2420576,428,159,2420800
2422704,429,159,2422928
2424828,428,158,2425064
2426952,429,158,2427176
2429080,428,158,2429304
2431204,429,158,2431432
2433328,428,158,2433552
2435452,429,158,2435680
2437580,428,159,2437808
2439704,429,159,2439928
2441828,428,158,2442056
2443952,429,159,2444176
2446076,428,158,2446304
2448204,428,159,2448432
2450328,428,158,2450552
2452452,428,158,2452680
2454580,429,159,2454808
2456704,428,159,2456928
2458828,429,159,2459056
2460952,428,158,2461176
2463080,428,159,2463304
2465204,428,158,2465432
2467328,429,158,2467552
2469452,428,159,2469680
2471576,429,158,2471800
2473704,428,158,2473928
2475828,428,158,2476056
2477952,428,158,2478176
2480080,428,159,2480304
2482204,428,159,2482432
